"Bron/techniek";"Energietoepassingen";"Perioden";"Vermeden verbruik van fossiele energie/Vermeden verbruik (TJ)";"Vermeden emissie van kooldioxide (CO2)/Vermeden emissie (kton)"
"Totaal zonne-energie";"Totaal energietoepassingen";"2017";"   18984";"    1368"
"Totaal zonne-energie";"Totaal energietoepassingen";"2018";"   30621";"    2148"
"Totaal zonne-energie";"Totaal energietoepassingen";"2019";"   42716";"    2724"
"Totaal zonne-energie";"Totaal energietoepassingen";"2020";"   67002";"    3799"
"Totaal zonne-energie";"Totaal energietoepassingen";"2021";"   91284";"    5760"
"Totaal zonne-energie";"Totaal energietoepassingen";"2022";"  136941";"    8668"
"Totaal zonne-energie";"Totaal energietoepassingen";"2023";"  159531";"    9268"
"Totaal zonne-energie";"Totaal energietoepassingen";"2024**";"  173522";"    9982"
"Zonnestroom";"Totaal energietoepassingen";"2010";"     476";"      32"
"Zonnestroom";"Totaal energietoepassingen";"2011";"     867";"      58"
"Zonnestroom";"Totaal energietoepassingen";"2012";"    1638";"     116"
"Zonnestroom";"Totaal energietoepassingen";"2013";"    3481";"     256"
"Zonnestroom";"Totaal energietoepassingen";"2014";"    6291";"     462"
"Zonnestroom";"Totaal energietoepassingen";"2015";"    9639";"     751"
"Zonnestroom";"Totaal energietoepassingen";"2016";"   13473";"    1005"
"Zonnestroom";"Totaal energietoepassingen";"2017";"   17793";"    1301"
"Zonnestroom";"Totaal energietoepassingen";"2018";"   29413";"    2080"
"Zonnestroom";"Totaal energietoepassingen";"2019";"   41445";"    2653"
"Zonnestroom";"Totaal energietoepassingen";"2020";"   65736";"    3727"
"Zonnestroom";"Totaal energietoepassingen";"2021";"   90031";"    5689"
"Zonnestroom";"Totaal energietoepassingen";"2022";"  135683";"    8597"
"Zonnestroom";"Totaal energietoepassingen";"2023";"  158264";"    9196"
"Zonnestroom";"Totaal energietoepassingen";"2024**";"  172281";"    9912"
"Zonnewarmte";"Totaal energietoepassingen";"2010";"    1016";"      57"
"Zonnewarmte";"Totaal energietoepassingen";"2011";"    1066";"      60"
"Zonnewarmte";"Totaal energietoepassingen";"2012";"    1102";"      62"
"Zonnewarmte";"Totaal energietoepassingen";"2013";"    1142";"      65"
"Zonnewarmte";"Totaal energietoepassingen";"2014";"    1168";"      66"
"Zonnewarmte";"Totaal energietoepassingen";"2015";"    1179";"      67"
"Zonnewarmte";"Totaal energietoepassingen";"2016";"    1192";"      67"
"Zonnewarmte";"Totaal energietoepassingen";"2017";"    1191";"      67"
"Zonnewarmte";"Totaal energietoepassingen";"2018";"    1208";"      68"
"Zonnewarmte";"Totaal energietoepassingen";"2019";"    1271";"      72"
"Zonnewarmte";"Totaal energietoepassingen";"2020";"    1266";"      71"
"Zonnewarmte";"Totaal energietoepassingen";"2021";"    1254";"      71"
"Zonnewarmte";"Totaal energietoepassingen";"2022";"    1258";"      71"
"Zonnewarmte";"Totaal energietoepassingen";"2023";"    1266";"      71"
"Zonnewarmte";"Totaal energietoepassingen";"2024**";"    1242";"      70"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2010";"    2699";"     142"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2011";"    2932";"     153"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2012";"    3332";"     168"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2013";"    4083";"     203"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2014";"    4637";"     227"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2015";"    5667";"     266"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2016";"    6429";"     324"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2017";"    6986";"     358"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2018";"    7907";"     414"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2019";"   10058";"     548"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2020";"   11242";"     633"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2021";"   11488";"     624"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2022";"   12148";"     659"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2023";"   12647";"     704"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2024**";"   13753";"     767"
"Aardwarmte";"Totaal energietoepassingen";"2010";"     316";"      17"
"Aardwarmte";"Totaal energietoepassingen";"2011";"     315";"      17"
"Aardwarmte";"Totaal energietoepassingen";"2012";"     491";"      27"
"Aardwarmte";"Totaal energietoepassingen";"2013";"     986";"      54"
"Aardwarmte";"Totaal energietoepassingen";"2014";"    1488";"      81"
"Aardwarmte";"Totaal energietoepassingen";"2015";"    2425";"     131"
"Aardwarmte";"Totaal energietoepassingen";"2016";"    2827";"     154"
"Aardwarmte";"Totaal energietoepassingen";"2017";"    3029";"     165"
"Aardwarmte";"Totaal energietoepassingen";"2018";"    3734";"     206"
"Aardwarmte";"Totaal energietoepassingen";"2019";"    5589";"     312"
"Aardwarmte";"Totaal energietoepassingen";"2020";"    6228";"     351"
"Aardwarmte";"Totaal energietoepassingen";"2021";"    6330";"     352"
"Aardwarmte";"Totaal energietoepassingen";"2022";"    6785";"     378"
"Aardwarmte";"Totaal energietoepassingen";"2023";"    6791";"     381"
"Aardwarmte";"Totaal energietoepassingen";"2024**";"    7489";"     420"
"Totaal bodemenergie";"Totaal energietoepassingen";"2010";"    2383";"     125"
"Totaal bodemenergie";"Totaal energietoepassingen";"2011";"    2618";"     136"
"Totaal bodemenergie";"Totaal energietoepassingen";"2012";"    2841";"     141"
"Totaal bodemenergie";"Totaal energietoepassingen";"2013";"    3097";"     149"
"Totaal bodemenergie";"Totaal energietoepassingen";"2014";"    3149";"     147"
"Totaal bodemenergie";"Totaal energietoepassingen";"2015";"    3243";"     135"
"Totaal bodemenergie";"Totaal energietoepassingen";"2016";"    3601";"     170"
"Totaal bodemenergie";"Totaal energietoepassingen";"2017";"    3956";"     193"
"Totaal bodemenergie";"Totaal energietoepassingen";"2018";"    4173";"     208"
"Totaal bodemenergie";"Totaal energietoepassingen";"2019";"    4469";"     236"
"Totaal bodemenergie";"Totaal energietoepassingen";"2020";"    5014";"     282"
"Totaal bodemenergie";"Totaal energietoepassingen";"2021";"    5157";"     271"
"Totaal bodemenergie";"Totaal energietoepassingen";"2022";"    5364";"     281"
"Totaal bodemenergie";"Totaal energietoepassingen";"2023";"    5856";"     323"
"Totaal bodemenergie";"Totaal energietoepassingen";"2024**";"    6264";"     347"
"Bodemwarmte, totaal";"Totaal energietoepassingen";"2010";"    1507";"      66"
"Bodemwarmte, totaal";"Totaal energietoepassingen";"2011";"    1747";"      77"
"Bodemwarmte, totaal";"Totaal energietoepassingen";"2012";"    1873";"      72"
"Bodemwarmte, totaal";"Totaal energietoepassingen";"2013";"    2086";"      74"
"Bodemwarmte, totaal";"Totaal energietoepassingen";"2014";"    2169";"      74"
"Bodemwarmte, totaal";"Totaal energietoepassingen";"2015";"    2293";"      66"
"Bodemwarmte, totaal";"Totaal energietoepassingen";"2016";"    2547";"      88"
"Bodemwarmte, totaal";"Totaal energietoepassingen";"2017";"    2814";"     108"
"Bodemwarmte, totaal";"Totaal energietoepassingen";"2018";"    3072";"     128"
"Bodemwarmte, totaal";"Totaal energietoepassingen";"2019";"    3405";"     168"
"Bodemwarmte, totaal";"Totaal energietoepassingen";"2020";"    3775";"     212"
"Bodemwarmte, totaal";"Totaal energietoepassingen";"2021";"    3848";"     189"
"Bodemwarmte, totaal";"Totaal energietoepassingen";"2022";"    4055";"     198"
"Bodemwarmte, totaal";"Totaal energietoepassingen";"2023";"    4536";"     246"
"Bodemwarmte, totaal";"Totaal energietoepassingen";"2024**";"    4938";"     271"
"Bodemwarmte, warmtepompen";"Totaal energietoepassingen";"2010";"    1312";"      55"
"Bodemwarmte, warmtepompen";"Totaal energietoepassingen";"2011";"    1582";"      67"
"Bodemwarmte, warmtepompen";"Totaal energietoepassingen";"2012";"    1700";"      62"
"Bodemwarmte, warmtepompen";"Totaal energietoepassingen";"2013";"    1908";"      64"
